date_month_start,international_arrivals_total,positive_event_flag,negative_event_flag
2008-01-01,399556,1,0
2008-02-01,411032,1,0
2008-03-01,414332,0,1
2008-04-01,395900,1,0
2008-05-01,366387,1,0
2008-06-01,352945,1,1
2008-07-01,330000,1,1
2008-08-01,339000,1,1
2008-09-01,286389,0,1
2008-10-01,296742,0,1
2008-11-01,279904,0,1
2008-12-01,358048,1,1
2009-01-01,370000,0,1
2009-02-01,342913,1,1
2009-03-01,303489,0,1
2009-04-01,305430,0,1
2009-05-01,292843,1,1
2009-06-01,279147,1,0
2009-07-01,271422,1,0
2009-08-01,314915,1,1
2009-09-01,304419,0,1
2009-10-01,227859,1,1
2009-11-01,387871,1,1
2009-12-01,376400,1,1
2010-01-01,416249,1,0
2010-02-01,446323,1,0
2010-03-01,473509,1,0
2010-04-01,432608,1,0
2010-05-01,350982,1,0
2010-06-01,375707,1,1
2010-07-01,410000,1,1
2010-08-01,427935,1,1
2010-09-01,383463,1,1
2010-10-01,440071,1,0
2010-11-01,428295,1,0
2010-12-01,449570,1,0
2011-01-01,506424,1,0
2011-02-01,529315,1,0
2011-03-01,475733,1,0
2011-04-01,460000,1,0
2011-05-01,480886,1,1
2011-06-01,446966,1,1
2011-07-01,460000,1,1
2011-08-01,552234,1,1
2011-09-01,286618,0,1
2011-10-01,518477,1,1
2011-11-01,611864,1,1
2011-12-01,593408,1,1
2012-01-01,630000,1,0
2012-02-01,681849,1,0
2012-03-01,561877,1,0
2012-04-01,620000,1,0
2012-05-01,615523,1,1
2012-06-01,417429,1,1
2012-07-01,466000,1,1
2012-08-01,525292,1,1
2012-09-01,460238,0,1
2012-10-01,495576,1,1
2012-11-01,655701,1,1
2012-12-01,614673,1,1
2013-01-01,651812,1,0
2013-02-01,570476,1,0
2013-03-01,587366,1,0
2013-04-01,613919,1,0
2013-05-01,558751,1,1
2013-06-01,567291,1,1
2013-07-01,658325,1,1
2013-08-01,676719,1,1
2013-09-01,614827,0,1
2013-10-01,628695,1,1
2013-11-01,731034,1,1
2013-12-01,722349,1,1
2014-01-01,776174,1,0
2014-02-01,842026,1,0
2014-03-01,709725,0,0
2014-04-01,745980,0,0
2014-05-01,674204,0,1
2014-06-01,539776,0,1
2014-07-01,564736,0,1
2014-08-01,618588,0,1
2014-09-01,590881,0,1
2014-10-01,559002,0,0
2014-11-01,608617,0,0
2014-12-01,657304,1,0
2015-01-01,700692,1,0
2015-02-01,756000,1,0
2015-03-01,617895,0,0
2015-04-01,690440,0,0
2015-05-01,576868,0,0
2015-06-01,529445,1,0
2015-07-01,593566,1,0
2015-08-01,664985,0,1
2015-09-01,626324,0,1
2015-10-01,649099,0,0
2015-11-01,732740,0,0
2015-12-01,760798,1,0
2016-01-01,815200,1,0
2016-02-01,843726,1,0
2016-03-01,830608,0,0
2016-04-01,799612,0,1
2016-05-01,767373,0,1
2016-06-01,710574,1,0
2016-07-01,856438,1,0
2016-08-01,909866,0,1
2016-09-01,823135,0,1
2016-10-01,822145,0,1
2016-11-01,936779,0,0
2016-12-01,897279,1,0
2017-01-01,1007238,1,0
2017-02-01,1199421,1,0
2017-03-01,1005821,0,0
2017-04-01,1071650,0,0
2017-05-01,972844,1,0
2017-06-01,949362,1,0
2017-07-01,1036880,1,0
2017-08-01,1229163,0,1
2017-09-01,975952,0,1
2017-10-01,1024899,0,1
2017-11-01,1172568,1,0
2017-12-01,1276353,1,0
2018-01-01,1430242,1,0
2018-02-01,1431845,1,0
2018-03-01,1343314,0,0
2018-04-01,1341913,0,0
2018-05-01,1161114,1,0
2018-06-01,1183102,1,1
2018-07-01,1188817,1,0
2018-08-01,1323546,0,1
2018-09-01,1212597,0,1
2018-10-01,1205157,0,0
2018-11-01,1301909,0,0
2018-12-01,1374235,1,0
2019-01-01,1501766,1,0
2019-02-01,1588161,1,0
2019-03-01,1410187,1,0
2019-04-01,1468766,0,0
2019-05-01,1326668,1,0
2019-06-01,1185445,1,0
2019-07-01,1315792,1,0
2019-08-01,1512447,0,1
2019-09-01,1561274,0,1
2019-10-01,1618337,0,0
2019-11-01,1809580,0,0
2019-12-01,1710168,1,0
2020-01-01,1994125,1,1
2020-02-01,1242731,0,1
2020-03-01,449923,0,1
2020-04-01,0,0,1
2020-05-01,0,0,1
2020-06-01,0,0,1
2020-07-01,0,0,1
2020-08-01,0,0,1
2020-09-01,0,0,1
2020-10-01,0,0,1
2020-11-01,0,0,1
2020-12-01,0,0,1
2021-01-01,0,1,1
2021-02-01,0,0,1
2021-03-01,0,0,1
2021-04-01,0,0,1
2021-05-01,0,0,1
2021-06-01,0,0,1
2021-07-01,0,0,1
2021-08-01,0,0,1
2021-09-01,0,0,1
2021-10-01,0,1,0
2021-11-01,400,1,0
2021-12-01,3100,1,0
2022-01-01,19727,1,0
2022-02-01,29517,1,0
2022-03-01,41740,1,0
2022-04-01,101373,1,0
2022-05-01,172948,1,0
2022-06-01,236677,1,0
2022-07-01,352579,1,0
2022-08-01,486407,0,1
2022-09-01,431909,0,1
2022-10-01,484355,1,0
2022-11-01,596919,1,0
2022-12-01,707071,1,0
2023-01-01,871162,1,0
2023-02-01,932969,1,0
2023-03-01,895425,1,0
2023-04-01,984146,1,0
2023-05-01,916257,1,0
2023-06-01,975010,1,0
2023-07-01,1038563,1,0
2023-08-01,1217421,0,1
2023-09-01,1054449,0,1
2023-10-01,1112526,0,1
2023-11-01,1233371,1,0
2023-12-01,1371135,1,0
2024-01-01,1512313,1,0
2024-02-01,1531411,1,0
2024-03-01,1599074,1,0
2024-04-01,1556533,1,0
2024-05-01,1383703,1,0
2024-06-01,1249237,1,0
2024-07-01,1151432,1,0
2024-08-01,1446809,0,1
2024-09-01,1274804,0,1
2024-10-01,1419833,0,1
2024-11-01,1711512,1,0
2024-12-01,1747240,1,0
2025-01-01,2070466,1,0
2025-02-01,1893933,1,0
2025-03-01,2054309,1,0
2025-04-01,1654681,1,0
2025-05-01,1528352,1,0
2025-06-01,1462867,1,0
2025-07-01,1562588,1,0
2025-08-01,1684972,0,1
2025-09-01,1523388,0,1
2025-10-01,1732942,0,1
2025-11-01,1978174,1,0
2025-12-01,2021619,1,0
2026-01-01,2453724,1,0
2026-02-01,2228372,1,0
